ProductID,ProductName,Category,SubCategory,UnitPrice,UnitCost
TEC-PH-10000000,Premium Phone Model 000,Technology,Phones,296.77,186.96
TEC-MA-10000001,Premium Machine Model 001,Technology,Machines,1301.74,808.05
FUR-FU-10000002,Premium Furnishing Model 002,Furniture,Furnishings,59.68,32.62
FUR-FU-10000003,Premium Furnishing Model 003,Furniture,Furnishings,43.32,30.23
TEC-AC-10000004,Premium Accessorie Model 004,Technology,Accessories,57.48,39.25
OFF-BI-10000005,Premium Binder Model 005,Office Supplies,Binders,45.1,28.21
TEC-MA-10000006,Premium Machine Model 006,Technology,Machines,642.23,358.81
FUR-FU-10000007,Premium Furnishing Model 007,Furniture,Furnishings,97.47,67.32
TEC-PH-10000008,Premium Phone Model 008,Technology,Phones,170.88,103.65
FUR-TA-10000009,Premium Table Model 009,Furniture,Tables,765.45,520.45
OFF-PA-10000010,Premium Paper Model 010,Office Supplies,Paper,19.71,11.77
TEC-AC-10000011,Premium Accessorie Model 011,Technology,Accessories,131.62,82.82
FUR-FU-10000012,Premium Furnishing Model 012,Furniture,Furnishings,27.24,17.17
TEC-PH-10000013,Premium Phone Model 013,Technology,Phones,986.78,576.87
TEC-MA-10000014,Premium Machine Model 014,Technology,Machines,304.14,163.38
TEC-PH-10000015,Premium Phone Model 015,Technology,Phones,570.5,312.49
OFF-BI-10000016,Premium Binder Model 016,Office Supplies,Binders,24.0,16.22
OFF-AR-10000017,Premium Art Model 017,Office Supplies,Art,3.29,1.72
TEC-AC-10000018,Premium Accessorie Model 018,Technology,Accessories,72.18,47.22
TEC-CO-10000019,Premium Copier Model 019,Technology,Copiers,1087.66,623.15
FUR-BO-10000020,Premium Bookcase Model 020,Furniture,Bookcases,141.12,71.26
TEC-CO-10000021,Premium Copier Model 021,Technology,Copiers,1869.52,1241.56
FUR-TA-10000022,Premium Table Model 022,Furniture,Tables,275.53,147.61
OFF-PA-10000023,Premium Paper Model 023,Office Supplies,Paper,20.16,12.98
TEC-AC-10000024,Premium Accessorie Model 024,Technology,Accessories,69.32,40.49
OFF-BI-10000025,Premium Binder Model 025,Office Supplies,Binders,22.63,14.92
FUR-CH-10000026,Premium Chair Model 026,Furniture,Chairs,170.81,100.96
TEC-AC-10000027,Premium Accessorie Model 027,Technology,Accessories,123.55,75.55
FUR-FU-10000028,Premium Furnishing Model 028,Furniture,Furnishings,60.3,40.54
OFF-AR-10000029,Premium Art Model 029,Office Supplies,Art,19.28,11.11
FUR-TA-10000030,Premium Table Model 030,Furniture,Tables,414.94,236.66
OFF-AP-10000031,Premium Appliance Model 031,Office Supplies,Appliances,147.21,102.48
TEC-PH-10000032,Premium Phone Model 032,Technology,Phones,509.23,351.49
OFF-AR-10000033,Premium Art Model 033,Office Supplies,Art,5.54,3.03
OFF-PA-10000034,Premium Paper Model 034,Office Supplies,Paper,9.19,5.84
OFF-AP-10000035,Premium Appliance Model 035,Office Supplies,Appliances,221.06,139.78
FUR-BO-10000036,Premium Bookcase Model 036,Furniture,Bookcases,296.08,193.91
OFF-AP-10000037,Premium Appliance Model 037,Office Supplies,Appliances,237.62,141.98
OFF-AR-10000038,Premium Art Model 038,Office Supplies,Art,6.17,4.06
FUR-BO-10000039,Premium Bookcase Model 039,Furniture,Bookcases,222.48,119.81
FUR-TA-10000040,Premium Table Model 040,Furniture,Tables,630.09,320.78
FUR-BO-10000041,Premium Bookcase Model 041,Furniture,Bookcases,447.38,259.55
FUR-CH-10000042,Premium Chair Model 042,Furniture,Chairs,128.55,79.41
OFF-AR-10000043,Premium Art Model 043,Office Supplies,Art,12.79,7.6
FUR-TA-10000044,Premium Table Model 044,Furniture,Tables,333.77,184.62
FUR-CH-10000045,Premium Chair Model 045,Furniture,Chairs,99.08,67.17
TEC-CO-10000046,Premium Copier Model 046,Technology,Copiers,680.31,400.32
OFF-BI-10000047,Premium Binder Model 047,Office Supplies,Binders,21.6,14.09
FUR-FU-10000048,Premium Furnishing Model 048,Furniture,Furnishings,79.53,46.8
